operation,duration_ms,payload_size_bytes,timestamp,status,additional_info
send_message,0.19788742065429688,158,2025-02-26T02:37:00.675455,success,"size=10, index=64"
receive_instant_message,0.1971721649169922,162,2025-02-26T02:37:00.675656,success,"messages_read=1, size=10"
send_message,0.1690387725830078,158,2025-02-26T02:37:00.675833,success,"size=10, index=65"
receive_instant_message,0.1761913299560547,162,2025-02-26T02:37:00.676014,success,"messages_read=1, size=10"
send_message,0.19097328186035156,158,2025-02-26T02:37:00.676214,success,"size=10, index=66"
receive_instant_message,0.17571449279785156,162,2025-02-26T02:37:00.676396,success,"messages_read=1, size=10"
send_message,0.1609325408935547,158,2025-02-26T02:37:00.676566,success,"size=10, index=67"
receive_instant_message,0.1659393310546875,162,2025-02-26T02:37:00.676737,success,"messages_read=1, size=10"
send_message,0.1678466796875,158,2025-02-26T02:37:00.676915,success,"size=10, index=68"
receive_instant_message,0.15878677368164062,162,2025-02-26T02:37:00.677080,success,"messages_read=1, size=10"
send_message,0.15687942504882812,158,2025-02-26T02:37:00.677247,success,"size=10, index=69"
receive_instant_message,0.14781951904296875,162,2025-02-26T02:37:00.677401,success,"messages_read=1, size=10"
send_message,0.15115737915039062,158,2025-02-26T02:37:00.677562,success,"size=10, index=70"
receive_instant_message,0.1499652862548828,162,2025-02-26T02:37:00.677717,success,"messages_read=1, size=10"
send_message,0.15997886657714844,158,2025-02-26T02:37:00.677887,success,"size=10, index=71"
receive_instant_message,0.1609325408935547,162,2025-02-26T02:37:00.678053,success,"messages_read=1, size=10"
send_message,0.16021728515625,158,2025-02-26T02:37:00.678224,success,"size=10, index=72"
receive_instant_message,0.14734268188476562,162,2025-02-26T02:37:00.678375,success,"messages_read=1, size=10"
send_message,0.17380714416503906,158,2025-02-26T02:37:00.678557,success,"size=10, index=73"
receive_instant_message,0.15783309936523438,162,2025-02-26T02:37:00.678720,success,"messages_read=1, size=10"
send_message,0.15926361083984375,158,2025-02-26T02:37:00.678887,success,"size=10, index=74"
receive_instant_message,0.17499923706054688,162,2025-02-26T02:37:00.679068,success,"messages_read=1, size=10"
send_message,0.23674964904785156,158,2025-02-26T02:37:00.679319,success,"size=10, index=75"
receive_instant_message,0.23698806762695312,162,2025-02-26T02:37:00.679565,success,"messages_read=1, size=10"
send_message,0.23984909057617188,158,2025-02-26T02:37:00.679820,success,"size=10, index=76"
receive_instant_message,0.2257823944091797,162,2025-02-26T02:37:00.680055,success,"messages_read=1, size=10"
send_message,0.2429485321044922,158,2025-02-26T02:37:00.680313,success,"size=10, index=77"
receive_instant_message,0.2181529998779297,162,2025-02-26T02:37:00.680539,success,"messages_read=1, size=10"
send_message,0.24127960205078125,158,2025-02-26T02:37:00.680796,success,"size=10, index=78"
receive_instant_message,0.26798248291015625,162,2025-02-26T02:37:00.681073,success,"messages_read=1, size=10"
send_message,0.20813941955566406,158,2025-02-26T02:37:00.681295,success,"size=10, index=79"
receive_instant_message,0.2238750457763672,162,2025-02-26T02:37:00.681526,success,"messages_read=1, size=10"
send_message,0.22077560424804688,158,2025-02-26T02:37:00.681759,success,"size=10, index=80"
receive_instant_message,0.3190040588378906,162,2025-02-26T02:37:00.682087,success,"messages_read=1, size=10"
send_message,0.2722740173339844,158,2025-02-26T02:37:00.682374,success,"size=10, index=81"
receive_instant_message,0.3597736358642578,162,2025-02-26T02:37:00.682744,success,"messages_read=1, size=10"
send_message,0.26679039001464844,158,2025-02-26T02:37:00.683030,success,"size=10, index=82"
receive_instant_message,0.2586841583251953,162,2025-02-26T02:37:00.683298,success,"messages_read=1, size=10"
send_message,0.244140625,158,2025-02-26T02:37:00.683555,success,"size=10, index=83"
receive_instant_message,0.23293495178222656,162,2025-02-26T02:37:00.683799,success,"messages_read=1, size=10"
send_message,0.2377033233642578,158,2025-02-26T02:37:00.684052,success,"size=10, index=84"
receive_instant_message,0.21600723266601562,162,2025-02-26T02:37:00.684276,success,"messages_read=1, size=10"
send_message,0.28204917907714844,158,2025-02-26T02:37:00.684574,success,"size=10, index=85"
receive_instant_message,0.1800060272216797,162,2025-02-26T02:37:00.684761,success,"messages_read=1, size=10"
send_message,0.16689300537109375,158,2025-02-26T02:37:00.684936,success,"size=10, index=86"
receive_instant_message,0.15807151794433594,162,2025-02-26T02:37:00.685099,success,"messages_read=1, size=10"
send_message,0.1671314239501953,158,2025-02-26T02:37:00.685275,success,"size=10, index=87"
receive_instant_message,0.1609325408935547,162,2025-02-26T02:37:00.685441,success,"messages_read=1, size=10"
send_message,0.17189979553222656,158,2025-02-26T02:37:00.685621,success,"size=10, index=88"
receive_instant_message,0.1742839813232422,162,2025-02-26T02:37:00.685800,success,"messages_read=1, size=10"
send_message,0.171661376953125,158,2025-02-26T02:37:00.685983,success,"size=10, index=89"
receive_instant_message,0.16379356384277344,162,2025-02-26T02:37:00.686152,success,"messages_read=1, size=10"
send_message,0.1857280731201172,158,2025-02-26T02:37:00.686348,success,"size=10, index=90"
receive_instant_message,0.16689300537109375,162,2025-02-26T02:37:00.686521,success,"messages_read=1, size=10"
send_message,0.15592575073242188,158,2025-02-26T02:37:00.686689,success,"size=10, index=91"
receive_instant_message,0.1690387725830078,162,2025-02-26T02:37:00.686863,success,"messages_read=1, size=10"
send_message,0.15807151794433594,158,2025-02-26T02:37:00.687029,success,"size=10, index=92"
receive_instant_message,0.15997886657714844,162,2025-02-26T02:37:00.687193,success,"messages_read=1, size=10"
send_message,0.16117095947265625,158,2025-02-26T02:37:00.687363,success,"size=10, index=93"
receive_instant_message,0.16117095947265625,162,2025-02-26T02:37:00.687531,success,"messages_read=1, size=10"
send_message,0.15401840209960938,158,2025-02-26T02:37:00.687697,success,"size=10, index=94"
receive_instant_message,0.179290771484375,162,2025-02-26T02:37:00.687881,success,"messages_read=1, size=10"
send_message,0.15926361083984375,158,2025-02-26T02:37:00.688050,success,"size=10, index=95"
receive_instant_message,0.1442432403564453,162,2025-02-26T02:37:00.688199,success,"messages_read=1, size=10"
send_message,0.14019012451171875,158,2025-02-26T02:37:00.688346,success,"size=10, index=96"
receive_instant_message,0.14734268188476562,162,2025-02-26T02:37:00.688498,success,"messages_read=1, size=10"
send_message,0.15592575073242188,158,2025-02-26T02:37:00.688665,success,"size=10, index=97"
